Specimen Type,Lab Test Name,LBTEST,LBTESTCD,Collected Unit,Standard Unit,Standard Conversion Factor,Creation Date,Last Modified Date,Reference Standard Unit
serum,Carbon Dioxide,Carbon Dioxide,,mmol/L,mmol/L,1,2018/4/27,,Y
plasma,Carbon Dioxide,Carbon Dioxide,,mEq/L,mmol/L,1,2018/4/27,,Y
plasma,Carbonic Anhydrase,#N/A,,microgm/mL,mg/L,1,2018/4/27,,Y
serum,Carboxy-Terminal Telopeptide Collagen I,#N/A,,microgm/L,ng/mL,1,2018/4/27,,Y
serum,Carboxy-Terminal Telopeptide Collagen I,#N/A,,pg/mL,ng/mL,0.001,2018/4/27,,Y
serum,Carboxy-Terminal Telopeptide Collagen I,#N/A,,ng/mL,ng/mL,1,2018/4/27,,Y
blood,Carboxyhemoglobin,Carboxyhemoglobin,,%,%,1,2018/4/27,,Y
serum,Carcinoembryonic Antigen,Carcinoembryonic Antigen,,ng/mL,microgm/L,1,2018/4/27,,Y
blood,Carcinoembryonic Antigen,Carcinoembryonic Antigen,,microgm/L,microgm/L,1,2018/4/27,,Y
plasma,Carcinoembryonic Antigen,Carcinoembryonic Antigen,,microgm/L,microgm/L,1,2018/4/27,,Y
serum,Carcinoembryonic Antigen,Carcinoembryonic Antigen,,microgm/L,microgm/L,1,2018/4/27,,Y
blood,Carcinoembryonic Antigen,Carcinoembryonic Antigen,,ng/dL,microgm/L,0.01,2018/4/27,,Y
plasma,Carcinoembryonic Antigen,Carcinoembryonic Antigen,,ng/mL,microgm/L,1,2018/4/27,,Y
blood,Carcinoembryonic Antigen,Carcinoembryonic Antigen,,ng/mL,microgm/L,1,2018/4/27,,Y
serum,Cardiac Troponin T,#N/A,,ng/mL,microgm/L,1,2018/4/27,,Y
serum,Cardiac Troponin T,#N/A,,pg/mL,microgm/L,0.001,2018/4/27,,Y
blood,Cardiac Troponin T,#N/A,,ng/L,microgm/L,0.001,2018/4/27,,Y
blood,Cardiac Troponin T,#N/A,,ng/dL,microgm/L,0.01,2018/4/27,,Y
serum,Cardiac Troponin T,#N/A,,microgm/L,microgm/L,1,2018/4/27,,Y
blood,Cardiac Troponin T,#N/A,,microgm/L,microgm/L,1,2018/4/27,,Y
blood,Cardiac Troponin T,#N/A,,pg/mL,microgm/L,0.001,2018/4/27,,Y
plasma,Cardiac Troponin T,#N/A,,ng/mL,microgm/L,1,2018/4/27,,Y
plasma,Cardiac Troponin T,#N/A,,ng/L,microgm/L,0.001,2018/4/27,,Y
blood,Cardiac Troponin T,#N/A,,ng/mL,microgm/L,1,2018/4/27,,Y
serum,Cardiac Troponin T,#N/A,,ng/L,microgm/L,0.001,2018/4/27,,Y
plasma,Cardiac Troponin T,#N/A,,microgm/L,microgm/L,1,2018/4/27,,Y
serum,Cardiolipin Antibody,#N/A,,PL,PL,1,2018/4/27,,Y
serum,Cardiolipin Immunoglobulin A Antibody,#N/A,,PL,PL,1,2018/4/27,,Y
serum,Cardiolipin Immunoglobulin G Antibody,#N/A,,GPL,PL,1,2018/4/27,,Y
serum,Cardiolipin Immunoglobulin G Antibody,#N/A,,PL,PL,1,2018/4/27,,Y
serum,Cardiolipin Immunoglobulin M Antibody,#N/A,,MPL,PL,1,2018/4/27,,Y
serum,Cardiolipin Immunoglobulin M Antibody,#N/A,,PL,PL,1,2018/4/27,,Y
serum,Carrot f31 Allergen Sp IgE,#N/A,,kIU/L,kIU/L,1,2018/4/27,,Y
serum,Casein Allergen RAST,#N/A,,U/mL,kIU/L,1,2018/4/27,,Y
serum,Casein Allergen RAST,#N/A,,kIU/L,kIU/L,1,2018/4/27,,Y
serum,Cat Dander Allergen RAST,#N/A,,kIU/L,kIU/L,1,2018/4/27,,N
serum,Cat Dander IgE,#N/A,,kIU/L,kIU/L,1,2018/4/27,,N
blood,Cat Dander IgE,#N/A,,kIU/L,kIU/L,1,2018/4/27,,N
serum,Cathespin G IgG Antibody,#N/A,,U/mL,U/mL,1,2018/4/27,,Y
serum,Cedar Juniper Tree Allergen,#N/A,,kIU/L,kIU/L,1,2018/4/27,,Y
serum,Cedar Tree Allergen,#N/A,,kIU/L,kIU/L,1,2018/4/27,,Y
serum,Cedar Tree Allergen,#N/A,,IU/mL,kIU/L,1,2018/4/27,,Y
serum,Centromere A and B Antibodies,#N/A,,units,units,1,2018/4/27,,Y
serum,Centromere B Antibody,#N/A,,U/mL,U/mL,1,2018/4/27,,Y
serum,Ceruloplasmin,Ceruloplasmin,,mg/dL,mg/L,10,2018/4/27,,Y
blood,Ceruloplasmin,Ceruloplasmin,,mg/dL,mg/L,10,2018/4/27,,Y
serum,Ceruloplasmin,Ceruloplasmin,,gm/L,mg/L,1000,2018/4/27,,Y
serum,Chenodeoxycholic Acid,#N/A,,micromol/L,micromol/L,1,2018/4/27,,Y
serum,Chenodeoxycholic Acid,#N/A,,microgm/mL,micromol/L,2.547,2018/4/27,,Y
plasma,Chenodeoxycholic Acid,#N/A,,ng/mL,micromol/L,0.0025,2018/4/27,,Y
serum,Chenodeoxycholic Acid,#N/A,,ng/mL,micromol/L,0.0025,2018/4/27,,Y
serum,Chicken Meat Allergen,#N/A,,kIU/L,kIU/L,1,2018/4/27,,Y
blood,Chimerism,#N/A,,%,%,1,2018/4/27,,Y
serum,Chlamydia Pneumoniae IgA Antibody,Chlamydia pneumoniae IgA Antibody,,index,Ab index,1,2018/4/27,,Y
serum,Chlamydia Pneumoniae IgG Antibody,#N/A,,index,Ab index,1,2018/4/27,,Y
serum,Chlamydia Psittaci IgG Antibody,#N/A,,ratio (/),ratio (/),1,2018/4/27,,Y
serum,Chlamydia Psittaci IgM Antibody,#N/A,,ratio (/),ratio (/),1,2018/4/27,,Y
serum,Chlamydia Trachomatis IgA Antibody,Chlamydia trachomatis IgA Antibody,,,,,2018/4/27,,
serum,Chlamydia Trachomatis IgG Antibody,Chlamydia trachomatis IgG Antibody,,,,,2018/4/27,,
blood,Chlamydia Trachomatis PCR,#N/A,,copies/mL,copies/mL,1,2018/4/27,,Y
plasma,Chlamydia Trachomatis PCR,#N/A,,copies/mL,copies/mL,1,2018/4/27,,Y
plasma,Chloride,Chloride,,mg/dL,mmol/L,0.282,2018/4/27,,Y
plasma,Chloride,Chloride,,mmol/dL,mmol/L,10,2018/4/27,,Y
plasma,Chloride,Chloride,,mmol/L,mmol/L,1,2018/4/27,,Y
blood,Chloride,Chloride,,mg/dL,mmol/L,0.282,2018/4/27,,Y
serum,Chloride,Chloride,,mmol/dL,mmol/L,10,2018/4/27,,Y
serum,Chloride,Chloride,,mmol/L,mmol/L,1,2018/4/27,,Y
plasma,Chloride,Chloride,,mEq/L,mmol/L,1,2018/4/27,,Y
plasma,Chloride,Chloride,,mEq/mL,mmol/L,1000,2018/4/27,,Y
blood,Chloride,Chloride,,mmol/L,mmol/L,1,2018/4/27,,Y
serum,Chloride,Chloride,,mEq/L,mmol/L,1,2018/4/27,,Y
serum,Chloride,Chloride,,mEq/mL,mmol/L,1000,2018/4/27,,Y
blood,Chloride,Chloride,,mEq/dL,mmol/L,10,2018/4/27,,Y
plasma,Chloride,Chloride,,mg%,mmol/L,0.282,2018/4/27,,Y
serum,Chloride,Chloride,,mg/dL,mmol/L,0.282,2018/4/27,,Y
blood,Chloride,Chloride,,mEq/L,mmol/L,1,2018/4/27,,Y
serum,Chloride,Chloride,,mg%,mmol/L,0.282,2018/4/27,,Y
serum,Cholesterol,Cholesterol,,mg/dL,mmol/L,0.0259,2018/4/27,,Y
serum,Cholesterol,Cholesterol,,mmol/L,mmol/L,1,2018/4/27,,Y
blood,Cholesterol,Cholesterol,,mg/dL,mmol/L,0.0259,2018/4/27,,Y
plasma,Cholesterol,Cholesterol,,mmol/L,mmol/L,1,2018/4/27,,Y
blood,Cholesterol,Cholesterol,,mmol/L,mmol/L,1,2018/4/27,,Y
serum,Cholesterol,Cholesterol,,mg%,mmol/L,0.0259,2018/4/27,,Y
plasma,Cholesterol,Cholesterol,,mg%,mmol/L,0.0259,2018/4/27,,Y
serum,Cholesterol,Cholesterol,,gm/L,mmol/L,2.586,2018/4/27,,Y
plasma,Cholesterol,Cholesterol,,gm/L,mmol/L,2.586,2018/4/27,,Y
plasma,Cholesterol,Cholesterol,,mg/dL,mmol/L,0.0259,2018/4/27,,Y
blood,Cholesterol,Cholesterol,,mg%,mmol/L,0.0259,2018/4/27,,Y
blood,Cholesterol,Cholesterol,,gm/L,mmol/L,2.586,2018/4/27,,Y
plasma,Cholesterol (greater than 1.006 density),#N/A,,mg/dL,mg/dL,1,2018/4/27,,N
plasma,Cholesterol - DGC,#N/A,,mg/dL,mmol/L,0.0259,2018/4/27,,Y
serum,Cholesterol Ester Transfer Protein ACT,#N/A,,RFU/sec,RFU/sec,1,2018/4/27,,Y
serum,Cholesterol Ester Transfer Protein Mass,#N/A,,ng/mL,microgm/mL,0.001,2018/4/27,,Y
serum,Cholesterol Ester Transfer Protein Mass,#N/A,,microgm/mL,microgm/mL,1,2018/4/27,,Y
blood,Cholesterol in HDL Calculated,#N/A,,mg/dL,mmol/L,0.0259,2018/4/27,,Y
serum,Cholesterol in HDL Calculated,#N/A,,mg/dL,mmol/L,0.0259,2018/4/27,,Y
plasma,Cholesterol in HDL Calculated,#N/A,,mg/dL,mmol/L,0.0259,2018/4/27,,Y
blood,Cholesterol in LDL Calculated,#N/A,,mg/dL,mmol/L,0.0259,2018/4/27,,Y
blood,Cholesterol in LDL Calculated,#N/A,,mmol/L,mmol/L,1,2018/4/27,,Y
plasma,Cholesterol in LDL Calculated,#N/A,,mmol/L,mmol/L,1,2018/4/27,,Y
serum,Cholesterol in LDL Calculated,#N/A,,mg/dL,mmol/L,0.0259,2018/4/27,,Y
serum,Cholesterol in LDL Calculated,#N/A,,mmol/L,mmol/L,1,2018/4/27,,Y
plasma,Cholesterol in LDL Calculated,#N/A,,mg/dL,mmol/L,0.0259,2018/4/27,,Y
blood,Cholesterol/HDL Cholesterol Ratio,#N/A,,,,,2018/4/27,,
serum,Cholesterol/HDL Cholesterol Ratio,#N/A,,,,,2018/4/27,,
plasma,Cholesterol/HDL Cholesterol Ratio,#N/A,,,,,2018/4/27,,
blood,Cholesterol/HDL Cholesterol Ratio - DS,#N/A,,,,,2018/4/27,,
serum,Cholesteryl Esters,#N/A,,mmol/L,mmol/L,1,2018/4/27,,Y
plasma,Cholic Acid,#N/A,,ng/mL,micromol/L,0.0024,2018/4/27,,Y
serum,Cholic Acid,#N/A,,microgm/mL,micromol/L,2.448,2018/4/27,,Y
serum,Cholic Acid,#N/A,,ng/mL,micromol/L,0.0024,2018/4/27,,Y
serum,Cholic Acid,#N/A,,micromol/L,micromol/L,1,2018/4/27,,Y
plasma,Cholinesterase,Cholinesterase,,kIU/L,kIU/L,1,2018/4/27,,Y
blood,Cholinesterase,Cholinesterase,,IU/L,kIU/L,0.001,2018/4/27,,Y
serum,Cholinesterase,Cholinesterase,,IU/L,kIU/L,0.001,2018/4/27,,Y
serum,Cholinesterase,Cholinesterase,,kIU/L,kIU/L,1,2018/4/27,,Y
plasma,Cholinesterase,Cholinesterase,,IU/mL,kIU/L,1,2018/4/27,,Y
serum,Cholinesterase,Cholinesterase,,IU/mL,kIU/L,1,2018/4/27,,Y
plasma,Cholinesterase,Cholinesterase,,IU/L,kIU/L,0.001,2018/4/27,,Y
blood,Choriogonadotropin Beta,Choriogonadotropin Beta,,mIU/mL,IU/L,1,2018/4/27,,Y
serum,Choriogonadotropin Beta,Choriogonadotropin Beta,,IU/L,IU/L,1,2018/4/27,,Y
serum,Choriogonadotropin Beta,Choriogonadotropin Beta,,mIU/mL,IU/L,1,2018/4/27,,Y
blood,Choriogonadotropin Beta,Choriogonadotropin Beta,,IU/L,IU/L,1,2018/4/27,,Y
serum,Choriogonadotropin Beta Tumor Marker,#N/A,,mIU/mL,IU/L,1,2018/4/27,,Y
serum,Choriogonadotropin Beta Tumor Marker,#N/A,,IU/L,IU/L,1,2018/4/27,,N
serum,Choriogonadotropin Free Beta Subunit,#N/A,,ng/mL,ng/mL,1,2018/4/27,,Y
serum,Chromatin Antibodies,#N/A,,U/mL,U/mL,1,2018/4/27,,Y
serum,Chromatin Antibodies,#N/A,,IU/mL,U/mL,1,2018/4/27,,Y
serum,Chromium,#N/A,,microgm/L,nmol/L,19.2,2018/4/27,,Y
blood,Chromium-51 Isotope,#N/A,,cpm,cpm,1,2018/4/27,,N
serum,Chromogranin A,Chromogranin A,,ng/mL,microgm/L,1,2018/4/27,,Y
plasma,Chromogranin A,Chromogranin A,,ng/mL,microgm/L,1,2018/4/27,,Y
plasma,Chromogranin A,Chromogranin A,,microgm/L,microgm/L,1,2018/4/27,,Y
serum,Chromogranin A,Chromogranin A,,microgm/L,microgm/L,1,2018/4/27,,Y
plasma,Chylomicron Triglycerides,#N/A,,mmol/L,mmol/L,1,2018/4/27,,Y
plasma,Chylomicron Triglycerides,#N/A,,mg/dL,mmol/L,0.0113,2018/4/27,,Y
blood,Circulating Plasma Cells,#N/A,,/microL,10[9]/L,0.001,2018/4/27,,Y
blood,Circulating Plasma Cells,#N/A,,10[3]/microL,10[9]/L,1,2018/4/27,,Y
blood,Circulating Plasma Cells,#N/A,,10[9]/L,10[9]/L,1,2018/4/27,,Y
blood,Circulating Plasma Cells/Lymphocytes,#N/A,,%,%,1,2018/4/27,,Y
blood,Circulating Tumor Cells,Circulating Tumor Cells,,cells/7.5 mL,cells/7.5 mL,1,2018/4/27,,N
serum,Cladosporium Herbarum IgE,#N/A,,kIU/L,kIU/L,1,2018/4/27,,N
blood,Clot Retraction,#N/A,,%,%,1,2018/4/27,,Y
serum,CoCoa f93 Allergen Sp IgE,#N/A,,kIU/L,kIU/L,1,2018/4/27,,Y
blood,Coagulation Index,Coagulation Index,,,,,2018/4/27,,
serum,Cocklebur Weed Allergen,#N/A,,kIU/L,kIU/L,1,2018/4/27,,Y
serum,Cold Agglutinin,#N/A,,titer (:),titer (:),1,2018/4/27,,Y
blood,Color Index,#N/A,,,,,2018/4/27,,
serum,Complement C1,#N/A,,U/mL,U/mL,1,2018/4/27,,Y
serum,Complement C1q,#N/A,,microgm/mL,microgm/mL,1,2018/4/27,,Y
serum,Complement C2,#N/A,,mg/dL,mg/dL,1,2018/4/27,,Y
plasma,Complement C3,Complement C3,,mg/dL,gm/L,0.01,2018/4/27,,Y
plasma,Complement C3,Complement C3,,gm/L,gm/L,1,2018/4/27,,Y
serum,Complement C3,Complement C3,,mg/dL,gm/L,0.01,2018/4/27,,Y
serum,Complement C3,Complement C3,,gm/L,gm/L,1,2018/4/27,,Y
plasma,Complement C3,Complement C3,,mg/L,gm/L,0.001,2018/4/27,,Y
plasma,Complement C3,Complement C3,,mg/mL,gm/L,1,2018/4/27,,Y
serum,Complement C4,Complement C4,,mg/dL,gm/L,0.01,2018/4/27,,Y
serum,Complement C4,Complement C4,,gm/L,gm/L,1,2018/4/27,,Y
plasma,Complement C4,Complement C4,,gm/L,gm/L,1,2018/4/27,,Y
plasma,Complement C4,Complement C4,,mg/dL,gm/L,0.01,2018/4/27,,Y
serum,Complement C5,#N/A,,mg/dL,mg/dL,1,2018/4/27,,Y
serum,Complement C6,#N/A,,microgm/mL,mg/dL,0.1,2018/4/27,,Y
serum,Complement C7,#N/A,,U/mL,U/mL,1,2018/4/27,,Y
serum,Complement C8,#N/A,,U/mL,U/mL,1,2018/4/27,,Y
serum,Complement C9,#N/A,,U/mL,U/mL,1,2018/4/27,,Y
serum,Copper,COPPER,,microgm/dL,micromol/L,0.157,2018/4/27,,Y
blood,Copper,COPPER,,microgm/dL,micromol/L,0.157,2018/4/27,,Y
plasma,Copper,COPPER,,micromol/L,micromol/L,1,2018/4/27,,Y
plasma,Copper,COPPER,,microgm/dL,micromol/L,0.157,2018/4/27,,Y
blood,Copper,COPPER,,micromol/L,micromol/L,1,2018/4/27,,Y
serum,Copper,COPPER,,micromol/L,micromol/L,1,2018/4/27,,Y
plasma,Corticosteroid-Binding Globulin,#N/A,,mg/L,nmol/L,17.18,2018/4/27,,Y
serum,Corticosteroid-Binding Globulin,#N/A,,mg/L,nmol/L,17.18,2018/4/27,,Y
blood,Cortisol,CORTISOL,,microgm/dL,nmol/L,27.6,2018/4/27,,Y
serum,Cortisol,CORTISOL,,microgm/dL,nmol/L,27.6,2018/4/27,,Y
plasma,Cortisol,CORTISOL,,microgm/dL,nmol/L,27.6,2018/4/27,,Y
plasma,Cortisol,CORTISOL,,nmol/L,nmol/L,1,2018/4/27,,Y
serum,Cortisol,CORTISOL,,nmol/L,nmol/L,1,2018/4/27,,Y
blood,Cortisol,CORTISOL,,nmol/L,nmol/L,1,2018/4/27,,Y
plasma,Cortisol,CORTISOL,,ng/mL,nmol/L,2.759,2018/4/27,,Y
serum,Cottonwood Tree Allergen,#N/A,,kIU/L,kIU/L,1,2018/4/27,,Y
serum,Crab Allergen IgE,#N/A,,kIU/L,kIU/L,1,2018/4/27,,Y
blood,Creatine,#N/A,,mg/dL,micromol/L,76.25,2018/4/27,,Y
serum,Creatine,#N/A,,mg/dL,micromol/L,76.25,2018/4/27,,Y
serum,Creatine,#N/A,,micromol/L,micromol/L,1,2018/4/27,,Y
blood,Creatine,#N/A,,micromol/L,micromol/L,1,2018/4/27,,Y
serum,Creatine Kinase,Creatine Kinase,,mIU/mL,microkat/L,0.0167,2018/4/27,,Y
blood,Creatine Kinase,Creatine Kinase,,IU/L,microkat/L,0.0167,2018/4/27,,Y
serum,Creatine Kinase,Creatine Kinase,,IU/L,microkat/L,0.0167,2018/4/27,,Y
plasma,Creatine Kinase,Creatine Kinase,,microkat/L,microkat/L,1,2018/4/27,,Y
plasma,Creatine Kinase,Creatine Kinase,,IU/L,microkat/L,0.0167,2018/4/27,,Y
plasma,Creatine Kinase,Creatine Kinase,,mIU/mL,microkat/L,0.0167,2018/4/27,,Y
blood,Creatine Kinase,Creatine Kinase,,mIU/mL,microkat/L,0.0167,2018/4/27,,Y
serum,Creatine Kinase,Creatine Kinase,,microkat/L,microkat/L,1,2018/4/27,,Y
blood,Creatine Kinase,Creatine Kinase,,microkat/L,microkat/L,1,2018/4/27,,Y
blood,Creatine Kinase,Creatine Kinase,,micromol/L/sec,microkat/L,1,2018/4/27,,Y
plasma,Creatine Kinase BB,Creatine Kinase BB,,ng/mL,microgm/L,1,2018/4/27,,Y
serum,Creatine Kinase BB,Creatine Kinase BB,,microgm/L,microgm/L,1,2018/4/27,,Y
plasma,Creatine Kinase BB,Creatine Kinase BB,,microgm/L,microgm/L,1,2018/4/27,,Y
plasma,Creatine Kinase BB,Creatine Kinase BB,,%,%,1,2018/4/27,,N
serum,Creatine Kinase BB,Creatine Kinase BB,,ng/mL,microgm/L,1,2018/4/27,,Y
serum,Creatine Kinase BB,Creatine Kinase BB,,%,%,1,2018/4/27,,N
plasma,Creatine Kinase BB/Total Creatine Kinase,Creatine Kinase BB/Total Creatine Kinase,,%,%,1,2018/4/27,,Y
serum,Creatine Kinase BB/Total Creatine Kinase,Creatine Kinase BB/Total Creatine Kinase,,%,%,1,2018/4/27,,Y
blood,Creatine Kinase Isoenzyme,#N/A,,IU/L,IU/L,1,2018/4/27,,Y
serum,Creatine Kinase Isoenzyme,#N/A,,IU/L,IU/L,1,2018/4/27,,Y
serum,Creatine Kinase Isoenzyme,#N/A,,microkat/L,IU/L,59.88,2018/4/27,,Y
plasma,Creatine Kinase MB,Creatine Kinase MB,,ng/mL,microgm/L,1,2018/4/27,,Y
blood,Creatine Kinase MB,Creatine Kinase MB,,ng/mL,microgm/L,1,2018/4/27,,Y
serum,Creatine Kinase MB,Creatine Kinase MB,,microgm/L,microgm/L,1,2018/4/27,,Y
serum,Creatine Kinase MB,Creatine Kinase MB,,ng/mL,microgm/L,1,2018/4/27,,Y
plasma,Creatine Kinase MB,Creatine Kinase MB,,microgm/L,microgm/L,1,2018/4/27,,Y
blood,Creatine Kinase MB,Creatine Kinase MB,,microgm/L,microgm/L,1,2018/4/27,,Y
blood,Creatine Kinase MB,Creatine Kinase MB,,ng/dL,microgm/L,0.01,2018/4/27,,Y
plasma,Creatine Kinase MB,Creatine Kinase MB,,ng/dL,microgm/L,0.01,2018/4/27,,Y
serum,Creatine Kinase MB,Creatine Kinase MB,,ng/dL,microgm/L,0.01,2018/4/27,,Y
plasma,Creatine Kinase MB Activity,#N/A,,mIU/mL,microkat/L,0.0167,2018/4/27,,Y
plasma,Creatine Kinase MB Activity,#N/A,,IU/L,microkat/L,0.0167,2018/4/27,,Y
serum,Creatine Kinase MB Activity,#N/A,,mIU/mL,microkat/L,0.0167,2018/4/27,,Y
blood,Creatine Kinase MB Activity,#N/A,,IU/L,microkat/L,0.0167,2018/4/27,,Y
blood,Creatine Kinase MB Activity,#N/A,,microkat/L,microkat/L,1,2018/4/27,,Y
serum,Creatine Kinase MB Activity,#N/A,,microkat/L,microkat/L,1,2018/4/27,,Y
blood,Creatine Kinase MB Activity,#N/A,,mIU/mL,microkat/L,0.0167,2018/4/27,,Y
serum,Creatine Kinase MB Activity,#N/A,,IU/L,microkat/L,0.0167,2018/4/27,,Y
plasma,Creatine Kinase MB/Creatine Kinase,#N/A,,%,%,1,2018/4/27,,Y
blood,Creatine Kinase MB/Creatine Kinase,#N/A,,%,%,1,2018/4/27,,Y
serum,Creatine Kinase MB/Creatine Kinase,#N/A,,%,%,1,2018/4/27,,Y
serum,Creatine Kinase MM,Creatine Kinase MM,,%,%,1,2018/4/27,,N
serum,Creatine Kinase MM,Creatine Kinase MM,,ng/mL,microgm/L,1,2018/4/27,,Y
plasma,Creatine Kinase MM,Creatine Kinase MM,,ng/mL,microgm/L,1,2018/4/27,,Y
plasma,Creatine Kinase MM/Total Creatine Kinase,Creatine Kinase MM/Total Creatine Kinase,,%,%,1,2018/4/27,,Y
serum,Creatine Kinase MM/Total Creatine Kinase,Creatine Kinase MM/Total Creatine Kinase,,%,%,1,2018/4/27,,Y
serum,Creatinine,Creatinine,,mg%,micromol/L,88.4,2018/4/27,,Y
plasma,Creatinine,Creatinine,,mEq/L,micromol/L,999.5,2018/4/27,,Y
serum,Creatinine,Creatinine,,mg/mL,micromol/L,8840,2018/4/27,,Y
plasma,Creatinine,Creatinine,,micromol/L,micromol/L,1,2018/4/27,,Y
blood,Creatinine,Creatinine,,micromol/L,micromol/L,1,2018/4/27,,Y
plasma,Creatinine,Creatinine,,micromol/dL,micromol/L,10,2018/4/27,,Y
plasma,Creatinine,Creatinine,,mmol/L,micromol/L,1000,2018/4/27,,Y
plasma,Creatinine,Creatinine,,mg/L,micromol/L,8.84,2018/4/27,,Y
serum,Creatinine,Creatinine,,mmol/L,micromol/L,1000,2018/4/27,,Y
serum,Creatinine,Creatinine,,mg/dL,micromol/L,88.4,2018/4/27,,Y
plasma,Creatinine,Creatinine,,mg%,micromol/L,88.4,2018/4/27,,Y
blood,Creatinine,Creatinine,,mg%,micromol/L,88.4,2018/4/27,,Y
blood,Creatinine,Creatinine,,mg/L,micromol/L,8.84,2018/4/27,,Y
blood,Creatinine,Creatinine,,mEq/L,micromol/L,999.5,2018/4/27,,Y
serum,Creatinine,Creatinine,,mg/L,micromol/L,8.84,2018/4/27,,Y
blood,Creatinine,Creatinine,,mg/dL,micromol/L,88.4,2018/4/27,,Y
blood,Creatinine,Creatinine,,mmol/L,micromol/L,1000,2018/4/27,,Y
plasma,Creatinine,Creatinine,,mg/mL,micromol/L,8840,2018/4/27,,Y
serum,Creatinine,Creatinine,,micromol/dL,micromol/L,10,2018/4/27,,Y
plasma,Creatinine,Creatinine,,mg/dL,micromol/L,88.4,2018/4/27,,Y
serum,Creatinine,Creatinine,,micromol/L,micromol/L,1,2018/4/27,,Y
serum,Creatinine,Creatinine,,mEq/L,micromol/L,999.5,2018/4/27,,Y
plasma,Creatinine Clearance Estimation,#N/A,,mL/sec,mL/min,60,2018/4/27,,Y
serum,Creatinine Clearance Estimation,#N/A,,mL/min,mL/min,1,2018/4/27,,Y
plasma,Creatinine Clearance Estimation,#N/A,,L/day,mL/min,0.6944,2018/4/27,,Y
plasma,Creatinine Clearance Estimation,#N/A,,mL/min,mL/min,1,2018/4/27,,Y
serum,Creatinine Clearance Estimation,#N/A,,L/day,mL/min,0.6944,2018/4/27,,Y
blood,Creatinine Clearance Estimation,#N/A,,mL/min,mL/min,1,2018/4/27,,Y
serum,Creatinine Clearance Estimation,#N/A,,mL/sec,mL/min,60,2018/4/27,,Y
plasma,Creatinine Clearance Estimation MDRD,#N/A,,mL/min/1.73m[2],mL/min/1.73m[2],1,2018/4/27,,Y
blood,Creatinine Clearance Estimation MDRD,#N/A,,mL/min/1.73m[2],mL/min/1.73m[2],1,2018/4/27,,Y
serum,Creatinine Clearance Estimation MDRD,#N/A,,mL/min/1.73m[2],mL/min/1.73m[2],1,2018/4/27,,Y
serum,Creeping Bentgrass IgE,#N/A,,kIU/L,kIU/L,1,2018/4/27,,N
serum,Cryoglobulin,Cryoglobulin,,microgm/mL,microgm/mL,1,2018/4/27,,Y
serum,Cyclic Citrullinated Peptide IgG Ab,#N/A,,units,units,1,2018/4/27,,Y
blood,Cyclosporine,#N/A,,ng/mL,nmol/L,0.832,2018/4/27,,Y
blood,Cyclosporine,#N/A,,microgm/L,nmol/L,0.832,2018/4/27,,Y
plasma,Cystatin C,Cystatin C,,mg/L,mg/L,1,2018/4/27,,N
serum,Cystatin C,Cystatin C,,mg/dL,mg/L,10,2018/4/27,,N
serum,Cystatin C,Cystatin C,,mg/L,mg/L,1,2018/4/27,,N
blood,Cystatin C,Cystatin C,,mg/L,mg/L,1,2018/4/27,,Y
serum,Cytokeratin 19 Fragment,#N/A,,ng/mL,ng/mL,1,2018/4/27,,Y
serum,Cytokeratin 19 Fragment,#N/A,,microgm/L,ng/mL,1,2018/4/27,,Y
serum,Cytomegalovirus DNA,#N/A,,copies/mL,copies/mL,1,2018/4/27,,Y
blood,Cytomegalovirus DNA,#N/A,,cells,cells,1,2018/4/27,,Y
plasma,Cytomegalovirus DNA,#N/A,,copies/mL,copies/mL,1,2018/4/27,,Y
blood,Cytomegalovirus DNA,#N/A,,copies/mL,copies/mL,1,2018/4/27,,Y
serum,Cytomegalovirus IgG Antibody,Cytomegalovirus IgG Antibody,,U/mL,U/mL,1,2018/4/27,,N
serum,Cytomegalovirus IgM Antibody,Cytomegalovirus IgM Antibody,,U/mL,U/mL,1,2018/4/27,,N
serum,Cytomegalovirus Neutralizing Antibodies,#N/A,,,,,2018/4/27,,
blood,Cytomegalovirus PCR,#N/A,,copies/mL,copies/mL,1,2018/4/27,,Y
plasma,Cytomegalovirus PCR,#N/A,,copies/mL,copies/mL,1,2018/4/27,,Y
blood,Cytomegalovirus pp65 Antigen,#N/A,,cells,cells,1,2018/4/27,,Y
serum,DNA Antibodies Immunoprecipitation,#N/A,,IU/mL,IU/mL,1,2018/4/27,,N
blood,DNA Concentration,#N/A,,microgm/mL,microgm/mL,1,2018/4/27,,N
blood,DNA Purity,#N/A,,,,,2018/4/27,,
blood,DNA Yield,#N/A,,microgm,microgm,1,2018/4/27,,N
serum,DNase-B Antibody,DNase-B Antibody,,U/mL,U/mL,1,2018/4/27,,Y
blood,Degree of Agglutination,#N/A,,%,%,1,2018/4/27,,Y
serum,Dehydroepiandrosterone,Dehydroepiandrosterone,,ng/dL,nmol/L,0.0347,2018/4/27,,Y
serum,Dehydroepiandrosterone,Dehydroepiandrosterone,,ng/mL,nmol/L,3.47,2018/4/27,,Y
serum,Dehydroepiandrosterone Sulfate,Dehydroepiandrosterone Sulfate,,microgm/dL,micromol/L,0.027,2018/4/27,,Y
plasma,Dehydroepiandrosterone Sulfate,Dehydroepiandrosterone Sulfate,,microgm/dL,micromol/L,0.027,2018/4/27,,Y
